time,buy,sell,vol,delt-vol,bit,mazg,mazd,masp,jx
1458908153,2727.330000,2727.440000,2464695.284900,0.000000,0.100000,2729.200711,2728.318407,2728.710667,2728.770959
1458908154,2727.330000,2727.450000,2464696.891800,1.606900,0.100000,2729.200711,2728.318407,2728.710667,2728.770951
1458908156,2727.240000,2727.460000,2464719.081800,22.190000,0.100000,2729.201675,2728.317941,2728.712667,2728.770938
1458908157,2727.440000,2727.460000,2464720.007800,0.926000,0.100000,2729.201648,2728.317914,2728.712500,2728.770649
1458908158,2727.380000,2727.460000,2464742.620600,22.612800,0.100000,2729.201389,2728.317527,2728.712833,2728.770649
1458908160,2727.140000,2727.460000,2464742.979600,0.359000,0.100000,2729.201389,2728.317527,2728.712833,2728.770380
1458908160,2727.240000,2727.380000,2465184.165800,441.186200,0.100000,2729.201032,2728.317165,2728.712833,2728.770364
1458908161,2727.220000,2727.410000,2465184.298800,0.133000,0.100000,2729.201032,2728.317165,2728.712833,2728.765137
1458908163,2727.400000,2727.410000,2465185.417800,1.119000,0.100000,2729.194068,2728.310097,2728.712833,2728.764913
1458908163,2727.430000,2727.450000,2465201.639500,16.221700,0.100000,2729.193770,2728.309794,2728.712833,2728.764913
1458908165,2727.440000,2727.460000,2465227.306700,25.667200,0.100000,2729.173263,2728.305995,2728.669333,2728.751082
1458908166,2727.440000,2727.460000,2465242.620500,15.313800,0.100000,2729.173263,2728.305995,2728.669333,2728.750850
1458908167,2727.440000,2727.460000,2465682.320500,439.700000,0.100000,2729.172841,2728.305767,2728.670000,2728.750298
1458908168,2727.440000,2727.460000,2465682.473700,0.153200,0.100000,2729.172841,2728.305767,2728.670000,2728.750298
1458908169,2727.450000,2727.460000,2465701.198900,18.725200,0.100000,2729.172841,2728.305767,2728.670000,2728.745071
1458908170,2727.220000,2727.390000,2465702.074200,0.875300,0.100000,2729.165401,2728.301746,2728.670167,2728.744840
